date,vol,naive_vol,l_shrinkage
2021-02-03,0.0062500634900828,0.0063804778631709,0.1869837894729373
2021-02-04,0.0074856672381462,0.0075639750280243,0.1877136115929988
2021-02-05,0.0075028958162411,0.0077103865947387,0.3267658818021967
2021-02-08,0.0075742832264078,0.0077400634625297,0.2572036146815177
2021-02-09,0.00771197947655,0.007883599220843,0.3389140247567278
2021-02-10,0.0076922592399801,0.0079217431669321,0.3613550510184131
2021-02-11,0.007512207793837,0.0078343038791228,0.4041515293470497
2021-02-12,0.0076383703419772,0.0078498749203587,0.3622876841739703
2021-02-16,0.007159121726172,0.0075238043550037,0.3533615091715051
2021-02-17,0.0070022013133372,0.0072004562311428,0.292517816625726
2021-02-18,0.0072301123677321,0.0074517736137712,0.2889687512289902
2021-02-19,0.0071317962353557,0.0074038105413798,0.3024956250048399
2021-02-22,0.007390264076947,0.0076053674070647,0.3006462362303422
2021-02-23,0.0073734067481709,0.0075073756997277,0.2655342950596157
2021-02-24,0.0080161338018699,0.0080268928032554,0.1541628423796723
2021-02-25,0.0075661416236457,0.007531721961507,0.154163504499455
2021-02-26,0.0075089788944322,0.0074920947049545,2.328489573953274e-05
2021-03-01,0.0075528769177233,0.0075712991067536,0.0741277241028876
2021-03-02,0.0078459347772348,0.0078911505954534,1.1722832917143505e-08
2021-03-03,0.007782831394717,0.0084476675155874,0.7127637490550824
2021-03-04,0.0072408801697239,0.0084448720867246,0.8395213262529396
2021-03-05,0.0061267815148959,0.0081658297868013,0.9601263751745396
2021-03-08,0.0078128670991541,0.0080996239776769,1.0
2021-03-09,0.0079114831466467,0.0082498449144304,1.0
2021-03-10,0.0076713278216523,0.0080826743461197,0.9999999732339016
2021-03-11,0.0076516249080488,0.0080240677527812,1.0
2021-03-12,0.0075864423856317,0.0080580966434689,1.0
2021-03-15,0.0074284970323828,0.0081925709331288,1.0
2021-03-16,0.006631253021206,0.0081885853661568,0.8428630889260451
2021-03-17,0.007215923636221,0.0082454614382995,1.0
2021-03-18,0.0068420386406573,0.007345406533703,1.0
2021-03-19,0.0066036147296234,0.0065744567940985,0.1281707894428802
2021-03-22,0.0061264888246539,0.006270727900772,0.0
2021-03-23,0.0062505567663046,0.0063739662689058,1.183056026008659e-18
2021-03-24,0.0061710733805545,0.0063534704229151,6.87233836708911e-18
2021-03-25,0.0061598029117864,0.0063313826260901,0.0
2021-03-26,0.0048445609844496,0.0057573794273932,0.798434824370459
2021-03-29,0.004716112679976,0.0052375837009853,0.6147652247860201
2021-03-30,0.0046713779068716,0.0046791219761782,0.2206484505893324
2021-03-31,0.0044412483783311,0.0044390903513121,0.0
2021-04-01,0.0045189231498881,0.0045385077079092,0.0
2021-04-05,0.0039540699577712,0.0042104589295777,4.252409195860654e-17
2021-04-06,0.0040688214401131,0.0042816344863793,1.1790074944796033e-17
2021-04-07,0.0041155602438853,0.0043009151682451,1.0864674656820252e-17
2021-04-08,0.0038118863933669,0.004278514001839,0.0
2021-04-09,0.0039328805238286,0.0043767364967127,4.8719899209590313e-17
2021-04-12,0.0042985930253508,0.0044861201299633,4.6566009401060724e-17
2021-04-13,0.0052419833464458,0.0053802345626095,5.435317404689037e-18
2021-04-14,0.0061670197578896,0.0063372756137178,8.014663909977101e-18
2021-04-15,0.0062253490869207,0.0063906171727957,1.7426449684822278e-17
2021-04-16,0.0062620507593287,0.006446855516104,0.7734281905916668
2021-04-19,0.0063619955076813,0.0065455627825758,0.7348249257856112
2021-04-20,0.006240729818848,0.0062824825863324,0.0
2021-04-21,0.006194777096643,0.0062524090661274,0.0
2021-04-22,0.0065625377657293,0.0066675288501472,1.2953036875223929e-17
2021-04-23,0.006539785073386,0.0066169759800564,0.0
2021-04-26,0.0064950033039061,0.006569892892091,0.0
2021-04-27,0.0064412391611902,0.0065063990278677,3.404665867489792e-20
2021-04-28,0.0064472524057601,0.0065099250523139,2.00742671105461e-09
2021-04-29,0.0063970554205448,0.0064282219850479,0.0263456233837164
2021-04-30,0.0063714228308118,0.0063969913447467,0.0334214276263445
2021-05-03,0.0061879516967265,0.0062297819840541,0.0266610834348924
2021-05-04,0.0062518989694874,0.0063240109406453,0.0055806294844013
2021-05-05,0.0062828828830531,0.0063727230868409,0.4156064327286451
2021-05-06,0.0061541619080433,0.0062719205465994,0.4375377483423313
2021-05-07,0.0061279018588583,0.0062537926136013,0.4431363894694431
2021-05-10,0.0058840987117758,0.0059768298125359,3.8764091315752065e-18
2021-05-11,0.0052255003831475,0.0053506260619486,0.0
2021-05-12,0.0045302187128338,0.0045594838816822,0.0
2021-05-13,0.0037102426383218,0.0038232852954273,1.9660694883869305e-17
2021-05-14,0.0036626499307444,0.0037721474603796,0.0
2021-05-17,0.0035122148081651,0.0036910262064411,4.753668383618542e-19
2021-05-18,0.0037836700488672,0.003926502170581,2.568322492517817e-20
2021-05-19,0.0037301643160692,0.0038549848715396,0.0
2021-05-20,0.0041355190973424,0.0042031668830035,4.399286002323704e-08
2021-05-21,0.0047928676626867,0.004925156277522,5.395485380919152e-17
2021-05-24,0.004885693974623,0.0049716636250245,2.2179764437085437e-08
2021-05-25,0.0050906496946167,0.0051518840921786,2.068823072607889e-17
2021-05-26,0.005212130449352,0.0052707569579326,1.327298163734764e-17
2021-05-27,0.0054471234579627,0.0054947798229854,0.0
2021-05-28,0.0054747866372894,0.0055239636484757,3.2716233962308057e-17
2021-06-01,0.0052246932277486,0.0053115364909476,0.0
2021-06-02,0.0051293899560061,0.0052545606313726,0.0
2021-06-03,0.0051490869009672,0.0052831865378026,0.0
2021-06-04,0.0051034570028316,0.0052852267881177,0.0
2021-06-07,0.0051184562127619,0.0053072780825995,5.0191220930410073e-17
2021-06-08,0.0051433831021118,0.0053086560057023,1.1046313446104328e-17
2021-06-09,0.0053267660691756,0.0054918046489625,0.0
2021-06-10,0.0053370246268233,0.0054657557931854,5.609031402730632e-17
2021-06-11,0.005373156747604,0.0054945490985753,0.0
2021-06-14,0.005372794322265,0.0055064317048473,1.0121539442792116e-17
2021-06-15,0.0053558673545989,0.0054747967797054,3.19329477857889e-17
2021-06-16,0.0049689864732119,0.0051234323287702,0.0
2021-06-17,0.0049314713780757,0.0051042279613282,4.230803480936333e-18
2021-06-18,0.0044053555661115,0.0045574329540812,0.0
2021-06-21,0.0037826228990004,0.003930512199918,4.802932750349607e-18
2021-06-22,0.0038117554093868,0.003956946635567,0.0
2021-06-23,0.004454719830093,0.0046308889151457,0.345948656789317
2021-06-24,0.0045682491793452,0.0046304141099646,0.1837471892717788
2021-06-25,0.0042864992138848,0.0044543282147187,0.3105007743478843
2021-06-28,0.0043594367798925,0.0045743028586697,0.3447075703055132
2021-06-29,0.0044237036226872,0.0047428724530189,0.3795876602298175
2021-06-30,0.0044289245393192,0.0047398723192468,0.370756665469773
2021-07-01,0.0043747773994635,0.0047993522611214,0.4430548089122054
2021-07-02,0.0042817729753198,0.0046443658417736,0.434113363313378
2021-07-06,0.0042570703902648,0.0046359620840475,0.417437286747858
2021-07-07,0.0044000186958474,0.004783849338903,0.4340675822059573
2021-07-08,0.0041552708919397,0.0045171287335141,0.4123951020931704
2021-07-09,0.0039902266020651,0.0043816868531775,0.4064367089385909
2021-07-12,0.0039878580050558,0.0043885406879461,0.3937382928704982
2021-07-13,0.0039179600148392,0.0044780692158526,0.4167073869450381
2021-07-14,0.0039331550648482,0.0045038942568046,0.4183622135750116
2021-07-15,0.003910536254856,0.0044683818151128,0.4151537541831885
2021-07-16,0.0039875586937663,0.0045612473802074,0.4930077193141519
2021-07-19,0.0034455014493583,0.0043295575580609,0.5098741996843542
2021-07-20,0.0033289375469212,0.0043845273679552,0.5861114227361666
2021-07-21,0.0044470590951104,0.0052916230286895,0.6410933401733404
2021-07-22,0.004297394623057,0.0043802605114013,0.4486105521219209
2021-07-23,0.0040812907548355,0.004237980673015,0.5591883136313331
2021-07-26,0.0040816484942716,0.0042413412475829,0.5715181579589481
2021-07-27,0.0041640272121031,0.0043470167282568,0.5770032971098087
2021-07-28,0.0040998390956964,0.0041863946690168,3.0820817273372322e-18
2021-07-29,0.0043215932387008,0.0044046851326846,1.2707231182405338e-17
2021-07-30,0.0042774490876077,0.0043955120874577,0.4249404040782521
2021-08-02,0.0043862866578874,0.0044082883926432,3.1229912853535837e-18
2021-08-03,0.0043847882067853,0.0043935702757363,0.1541628486266896
2021-08-04,0.0040928379764965,0.0041182528635039,0.1865563705818296
2021-08-05,0.0041596792877474,0.004392196232336,0.4948579879066404
2021-08-06,0.0043533046995904,0.0043861698168939,0.2112900588177036
2021-08-09,0.0047397633177317,0.0047358830357025,0.1061189213428256
2021-08-10,0.004797633938511,0.0048215580264695,0.0640160859103618
2021-08-11,0.0051228854897244,0.0051117589124403,0.2062799425618928
