date,10y,BEST_EPS,CORR_COEF,DVD_PAYOUT_RATIO,DVD_SH_LAST,NET_AGGTE_DVD_YLD,NET_DEBT_TO_EBITDA,PE_RATIO,PX_TO_BOOK_RATIO,SHORT_AND_LONG_TERM_DEBT,acc_rate,bbb_credit,default_yield,erp,est_pe,global_bonds_total_r,indust_prod,inflation_total_r,libor3m,sentiment,spread,spx,spx_add,spx_add_bid,tail,ts
2021-01-25,1.0295,134.2221,0.978862,58.9477,0.0,1.53,1.6598,29.6185,4.2701,1169.8079,8.461643835616439e-05,220.37,3.11,127.76,3855.36,555.3268,1.29,396.9584,0.21288,42.5,41.30000000000018,0.003615803325289546,3855.36,3814.06,350.44,91.063
2021-01-26,1.0347,134.2607,0.978846,58.9477,0.016579,1.53,1.6598,29.5744,4.2638,1169.8079,2.8347945205479452e-05,220.19,3.13,127.63,3849.62,555.8737,1.29,398.0397,0.2185,42.5,21.09999999999991,-0.0014888363213811928,3849.62,3828.52,349.95,91.162
2021-01-27,1.0161,132.5343,0.978769,58.9477,0.004122,1.57,1.6598,28.815,4.1543,1169.8079,2.7838356164383563e-05,219.56,3.28,123.95,3750.77,554.5757,1.29,397.6117,0.2115,42.5,45.0300000000002,-0.025677859113367063,3750.77,3705.74,343.33,89.5
2021-01-28,1.0449,132.391,0.978781,58.9477,0.386484,1.56,1.6598,29.0963,4.1948,1169.8079,2.862739726027397e-05,215.51,3.2,125.74,3787.38,554.2254,1.29,398.5711,0.205,37.7,40.940000000000055,0.009760662477304782,3787.38,3746.44,345.99,92.554
2021-01-29,1.0655,132.6139,0.978895,58.9477,0.489567,1.59,1.6598,28.5344,4.1138,1169.8079,2.9191780821917806e-05,217.45,3.24,123.91,3714.24,553.8047,1.29,397.4448,0.20188,37.7,31.979999999999563,-0.019311502938707092,3714.24,3682.26,341.02,95.222
2021-02-01,1.0792,132.6685,0.978918,58.9477,0.010269,1.56,1.6598,28.9924,4.1799,1169.8079,8.870136986301369e-05,220.08,3.16,125.72,3773.86,552.5796,0.62,396.3426,0.1955,37.7,38.970000000000255,0.01605173602136656,3773.86,3734.89,344.55,96.396
2021-02-02,1.0963,128.3353,0.978936,58.9477,0.038785,1.53,1.6598,29.3954,4.238,1169.8079,3.0035616438356167e-05,217.35,3.07,127.89,3826.31,551.1576,0.62,394.8006,0.19225,37.7,20.38000000000011,0.013898236818535858,3826.31,3805.93,348.12,98.109
2021-02-03,1.1374,127.5026,0.978935,58.9477,0.0,1.51,1.6598,29.425,4.2422,1169.8079,3.116164383561644e-05,213.57,2.98,128.52,3830.17,550.607,0.62,395.015,0.19513,37.7,20.980000000000018,0.001008804827627774,3830.17,3809.19,348.0,101.833
2021-02-04,1.1392,125.4767,0.97895,58.9477,0.386631,1.49,1.6598,29.7436,4.2883,1169.8079,3.1210958904109586e-05,218.76,2.96,130.19,3871.74,549.4523,0.62,393.183,0.19263,37.4,27.539999999999964,0.01085330416143404,3871.74,3844.2,351.23,102.406
2021-02-05,1.1635,125.443,0.978961,58.9477,0.408178,1.49,1.6598,29.8596,4.305,1169.8079,3.187671232876712e-05,217.65,2.87,131.3,3886.83,549.7187,0.62,393.3875,0.19088,37.4,24.210000000000036,0.003897472454245321,3886.83,3862.62,352.51,105.631
2021-02-08,1.1705,125.2537,0.978999,58.9477,0.086622,1.47,1.6598,30.0805,4.3369,1169.8079,9.62054794520548e-05,221.33,2.8,131.92,3915.59,550.5713,0.62,394.0167,0.19538,37.4,25.710000000000036,0.007399345996609075,3915.59,3889.88,354.9,105.737
2021-02-09,1.1568,124.3163,0.979016,58.8333,0.669945,1.48,1.6587,30.0272,4.332,1169.8079,3.169315068493151e-05,217.49,2.8,131.84,3911.23,552.043,0.62,395.3878,0.2025,37.4,26.26000000000022,-0.0011134975827398197,3911.23,3884.97,354.56,103.773
2021-02-10,1.1225,124.2299,0.978993,58.8333,0.097255,1.48,1.6587,30.0168,4.3305,1169.8079,3.075342465753425e-05,220.75,2.83,131.43,3909.88,552.8032,0.62,396.2662,0.20088,37.4,32.76999999999998,-0.0003451599624669788,3909.88,3877.11,354.47,101.335
2021-02-11,1.1632,124.0029,0.978983,58.8333,0.796022,1.48,1.6587,30.0667,4.3377,1169.8079,3.1868493150684934e-05,215.51,2.8,131.96,3916.38,552.7889,0.62,396.0541,0.19763,45.5,35.0300000000002,0.0016624551137118804,3916.38,3881.35,354.96,105.21
2021-02-12,1.2082,123.9245,0.978919,58.8333,0.191735,1.47,1.6587,30.2084,4.3582,1169.8079,3.31013698630137e-05,213.18,2.75,133.46,3934.83,551.3349,0.62,394.97,0.19375,45.5,37.7199999999998,0.004710983101741784,3934.83,3897.11,356.44,109.52
2021-02-16,1.3141,123.6426,0.979006,58.8333,0.489012,1.47,1.6587,30.1912,4.3557,1169.8079,0.0001440109589041096,209.45,2.59,135.01,3932.59,549.0071,0.62,393.0614,0.18863,45.5,26.800000000000182,-0.0005692749114954987,3932.59,3905.79,356.29,119.11
