date,irl
2002-04-18,[[0.43096033]]
2002-04-19,[[0.44989398]]
2002-04-22,[[0.46651328]]
2002-04-23,[[0.4524102]]
2002-04-24,[[0.45849526]]
2002-04-25,[[0.46722248]]
2002-04-26,[[0.48591086]]
2002-04-29,[[0.49988163]]
2002-04-30,[[0.47537372]]
2002-05-01,[[0.5043007]]
2002-05-02,[[0.5140036]]
2002-05-03,[[0.52027196]]
2002-05-06,[[0.5067209]]
2002-05-07,[[0.4595309]]
2002-05-08,[[0.47794047]]
2002-05-09,[[0.42567855]]
2002-05-10,[[0.40070274]]
2002-05-13,[[0.3680029]]
2002-05-14,[[0.3663793]]
2002-05-15,[[0.35727146]]
2002-05-16,[[0.36038205]]
2002-05-17,[[0.38480008]]
2002-05-20,[[0.4049134]]
2002-05-21,[[0.33381164]]
2002-05-22,[[0.33310798]]
2002-05-23,[[0.35385218]]
2002-05-24,[[0.38662225]]
2002-05-28,[[0.34794915]]
2002-05-29,[[0.3354282]]
2002-05-30,[[0.33344257]]
2002-05-31,[[0.33714262]]
2002-06-03,[[0.35207337]]
2002-06-04,[[0.25974885]]
2002-06-05,[[0.27212012]]
2002-06-06,[[0.2898277]]
2002-06-07,[[0.2639022]]
2002-06-10,[[0.2950176]]
2002-06-11,[[0.3353604]]
2002-06-12,[[0.32580853]]
2002-06-13,[[0.3593251]]
2002-06-14,[[0.374196]]
2002-06-17,[[0.42250907]]
2002-06-18,[[0.35422578]]
2002-06-19,[[0.3753592]]
2002-06-20,[[0.37269086]]
2002-06-21,[[0.36298946]]
2002-06-24,[[0.37782243]]
2002-06-25,[[0.38506043]]
2002-06-26,[[0.39131337]]
2002-06-27,[[0.42734683]]
2002-06-28,[[0.4293854]]
2002-07-01,[[0.4525995]]
2002-07-02,[[0.42131758]]
2002-07-03,[[0.41692632]]
2002-07-05,[[0.43414363]]
2002-07-08,[[0.40224838]]
2002-07-09,[[0.3940749]]
2002-07-10,[[0.34858066]]
2002-07-11,[[0.30708236]]
2002-07-12,[[0.3188117]]
2002-07-15,[[0.34705788]]
2002-07-16,[[0.3238904]]
2002-07-17,[[0.3299895]]
2002-07-18,[[0.3485965]]
2002-07-19,[[0.34650016]]
2002-07-22,[[0.30530256]]
2002-07-23,[[0.3173198]]
2002-07-24,[[0.33638126]]
2002-07-25,[[0.2800349]]
2002-07-26,[[0.28482494]]
2002-07-29,[[0.29922503]]
2002-07-30,[[0.22098288]]
2002-07-31,[[0.22354752]]
2002-08-01,[[0.22349474]]
2002-08-02,[[0.20729038]]
2002-08-05,[[0.2059052]]
2002-08-06,[[0.18772978]]
2002-08-07,[[0.1964536]]
2002-08-08,[[0.20030507]]
2002-08-09,[[0.19372988]]
2002-08-12,[[0.19097546]]
2002-08-13,[[0.19821191]]
2002-08-14,[[0.17235479]]
2002-08-15,[[0.15933922]]
2002-08-16,[[0.15651092]]
2002-08-19,[[0.14068341]]
2002-08-20,[[0.13792899]]
2002-08-21,[[0.13153192]]
2002-08-22,[[0.12680161]]
2002-08-23,[[0.12175792]]
2002-08-26,[[0.10750523]]
2002-08-27,[[0.10411704]]
2002-08-28,[[0.08731157]]
2002-08-29,[[0.08080706]]
2002-08-30,[[0.08152995]]
2002-09-03,[[0.09275758]]
2002-09-04,[[0.07281578]]
2002-09-05,[[0.07962656]]
2002-09-06,[[0.07870418]]
2002-09-09,[[0.09636891]]
2002-09-10,[[0.09227371]]
2002-09-11,[[0.09621224]]
2002-09-12,[[0.10196921]]
2002-09-13,[[0.09553656]]
2002-09-16,[[0.10478443]]
2002-09-17,[[0.12601158]]
2002-09-18,[[0.12254468]]
2002-09-19,[[0.13504872]]
2002-09-20,[[0.12580416]]
2002-09-23,[[0.14578208]]
2002-09-24,[[0.16478446]]
2002-09-25,[[0.20755047]]
2002-09-26,[[0.22096604]]
2002-09-27,[[0.24802375]]
2002-09-30,[[0.21868306]]
2002-10-01,[[0.2517438]]
2002-10-02,[[0.20606095]]
2002-10-03,[[0.20243695]]
2002-10-04,[[0.22089535]]
2002-10-07,[[0.2661665]]
2002-10-08,[[0.26224175]]
2002-10-09,[[0.27629584]]
2002-10-10,[[0.27007398]]
2002-10-11,[[0.24594939]]
2002-10-14,[[0.21597293]]
2002-10-15,[[0.20770669]]
2002-10-16,[[0.17316735]]
2002-10-17,[[0.16250545]]
2002-10-18,[[0.1562199]]
2002-10-21,[[0.15947479]]
2002-10-22,[[0.16579634]]
2002-10-23,[[0.1534451]]
2002-10-24,[[0.1529316]]
2002-10-25,[[0.14739382]]
2002-10-28,[[0.14687046]]
2002-10-29,[[0.14394897]]
2002-10-30,[[0.13920686]]
2002-10-31,[[0.13899213]]
2002-11-01,[[0.13582763]]
2002-11-04,[[0.13209355]]
2002-11-05,[[0.13804772]]
2002-11-06,[[0.14233673]]
2002-11-07,[[0.14165688]]
2002-11-08,[[0.1270167]]
2002-11-11,[[0.12715477]]
2002-11-12,[[0.11341062]]
2002-11-13,[[0.12832075]]
2002-11-14,[[0.13458252]]
2002-11-15,[[0.13372529]]
2002-11-18,[[0.1350536]]
2002-11-19,[[0.16004083]]
2002-11-20,[[0.1670458]]
2002-11-21,[[0.17509627]]
2002-11-22,[[0.17968583]]
2002-11-25,[[0.17070872]]
2002-11-26,[[0.18152434]]
2002-11-27,[[0.16139299]]
2002-11-29,[[0.15552533]]
2002-12-02,[[0.15620103]]
2002-12-03,[[0.14111742]]
2002-12-04,[[0.14300641]]
2002-12-05,[[0.14740458]]
2002-12-06,[[0.1380173]]
2002-12-09,[[0.1462926]]
2002-12-10,[[0.14670485]]
2002-12-11,[[0.1569587]]
2002-12-12,[[0.16168785]]
2002-12-13,[[0.18151769]]
2002-12-16,[[0.16452566]]
2002-12-17,[[0.14916334]]
2002-12-18,[[0.14704701]]
2002-12-19,[[0.14520538]]
2002-12-20,[[0.14969778]]
2002-12-23,[[0.15203804]]
2002-12-24,[[0.14952046]]
2002-12-26,[[0.15608269]]
2002-12-27,[[0.15927553]]
2002-12-30,[[0.16923589]]
2002-12-31,[[0.22123903]]
2003-01-02,[[0.23678565]]
2003-01-03,[[0.1928727]]
2003-01-06,[[0.20209992]]
2003-01-07,[[0.19855589]]
2003-01-08,[[0.1772035]]
2003-01-09,[[0.1652818]]
2003-01-10,[[0.168129]]
2003-01-13,[[0.18309918]]
2003-01-14,[[0.16846079]]
2003-01-15,[[0.18412039]]
2003-01-16,[[0.15583563]]
2003-01-17,[[0.15306345]]
2003-01-21,[[0.15524453]]
2003-01-22,[[0.14431131]]
2003-01-23,[[0.14886144]]
2003-01-24,[[0.16782805]]
2003-01-27,[[0.13097042]]
2003-01-28,[[0.12385342]]
2003-01-29,[[0.14510179]]
2003-01-30,[[0.15809038]]
2003-01-31,[[0.14015111]]
2003-02-03,[[0.14525631]]
2003-02-04,[[0.16497025]]
2003-02-05,[[0.15109468]]
2003-02-06,[[0.1560427]]
2003-02-07,[[0.16700381]]
2003-02-10,[[0.18195221]]
2003-02-11,[[0.21101457]]
2003-02-12,[[0.21310434]]
2003-02-13,[[0.22172937]]
2003-02-14,[[0.25228897]]
2003-02-18,[[0.2360282]]
2003-02-19,[[0.22455919]]
2003-02-20,[[0.22636113]]
2003-02-21,[[0.2205182]]
2003-02-24,[[0.22781175]]
2003-02-25,[[0.19884747]]
2003-02-26,[[0.26185203]]
2003-02-27,[[0.2423634]]
2003-02-28,[[0.24423462]]
2003-03-03,[[0.26880085]]
2003-03-04,[[0.25257102]]
2003-03-05,[[0.21789947]]
2003-03-06,[[0.23912054]]
2003-03-07,[[0.23414835]]
2003-03-10,[[0.23848352]]
2003-03-11,[[0.20262226]]
2003-03-12,[[0.1857512]]
2003-03-13,[[0.20496339]]
2003-03-14,[[0.19239235]]
2003-03-17,[[0.1813843]]
2003-03-18,[[0.156264]]
2003-03-19,[[0.15762517]]
2003-03-20,[[0.16075373]]
