date,irl
2000-12-28,[[0.12270418]]
2000-12-29,[[0.10827273]]
2001-01-02,[[0.11293286]]
2001-01-03,[[0.11116749]]
2001-01-04,[[0.27706063]]
2001-01-05,[[0.25295797]]
2001-01-08,[[0.53204685]]
2001-01-09,[[0.39007735]]
2001-01-10,[[0.35779625]]
2001-01-11,[[0.35267955]]
2001-01-12,[[0.3501237]]
2001-01-16,[[0.30670175]]
2001-01-17,[[0.351138]]
2001-01-18,[[0.3506223]]
2001-01-19,[[0.36162844]]
2001-01-22,[[0.34816745]]
2001-01-23,[[0.27209294]]
2001-01-24,[[0.30896282]]
2001-01-25,[[0.30066523]]
2001-01-26,[[0.3006807]]
2001-01-29,[[0.19996461]]
2001-01-30,[[0.23214594]]
2001-01-31,[[0.1496656]]
2001-02-01,[[0.13687229]]
2001-02-02,[[0.02866429]]
2001-02-05,[[0.02891544]]
2001-02-06,[[0.01198354]]
2001-02-07,[[0.0110372]]
2001-02-08,[[0.0112966]]
2001-02-09,[[0.01389131]]
2001-02-12,[[0.03370175]]
2001-02-13,[[0.01247022]]
2001-02-14,[[0.012972]]
2001-02-15,[[0.01406035]]
2001-02-16,[[0.01398695]]
2001-02-20,[[0.01386341]]
2001-02-21,[[0.01342723]]
2001-02-22,[[0.01411629]]
2001-02-23,[[0.01434511]]
2001-02-26,[[0.01556808]]
2001-02-27,[[0.02152196]]
2001-02-28,[[0.02163067]]
2001-03-01,[[0.02166802]]
2001-03-02,[[0.02318996]]
2001-03-05,[[0.02314004]]
2001-03-06,[[0.02116901]]
2001-03-07,[[0.01825777]]
2001-03-08,[[0.01769379]]
2001-03-09,[[0.01617163]]
2001-03-12,[[0.01633427]]
2001-03-13,[[0.02263719]]
2001-03-14,[[0.02136075]]
2001-03-15,[[0.02605641]]
2001-03-16,[[0.0252507]]
2001-03-19,[[0.05440867]]
2001-03-20,[[0.0283801]]
2001-03-21,[[0.0704557]]
2001-03-22,[[0.11448187]]
2001-03-23,[[0.11149204]]
2001-03-26,[[0.11090636]]
2001-03-27,[[0.10700372]]
2001-03-28,[[0.12920603]]
2001-03-29,[[0.11402896]]
2001-03-30,[[0.11157045]]
2001-04-02,[[0.1078181]]
2001-04-03,[[0.06320244]]
2001-04-04,[[0.02668932]]
2001-04-05,[[0.02605322]]
2001-04-06,[[0.02768725]]
2001-04-09,[[0.02876642]]
2001-04-10,[[0.03185809]]
2001-04-11,[[0.03035721]]
2001-04-12,[[0.03064862]]
2001-04-16,[[0.02976325]]
2001-04-17,[[0.02829084]]
2001-04-18,[[0.02739215]]
2001-04-19,[[0.02752528]]
2001-04-20,[[0.02718806]]
2001-04-23,[[0.03088188]]
2001-04-24,[[0.02604538]]
2001-04-25,[[0.02876827]]
2001-04-26,[[0.02729359]]
2001-04-27,[[0.0257602]]
2001-04-30,[[0.02535802]]
2001-05-01,[[0.03453624]]
2001-05-02,[[0.03392011]]
2001-05-03,[[0.03998867]]
2001-05-04,[[0.03331968]]
2001-05-07,[[0.02572107]]
2001-05-08,[[0.05135921]]
2001-05-09,[[0.05862546]]
2001-05-10,[[0.0857839]]
2001-05-11,[[0.03852203]]
2001-05-14,[[0.05089861]]
2001-05-15,[[0.12909278]]
2001-05-16,[[0.03354296]]
2001-05-17,[[0.2482748]]
2001-05-18,[[0.2565964]]
2001-05-21,[[0.22776073]]
2001-05-22,[[0.11709723]]
2001-05-23,[[0.05023447]]
2001-05-24,[[0.0397853]]
2001-05-25,[[0.01911345]]
2001-05-29,[[0.03931621]]
2001-05-30,[[0.10143873]]
2001-05-31,[[0.11145687]]
2001-06-01,[[0.1152322]]
2001-06-04,[[0.11491641]]
2001-06-05,[[0.08210528]]
2001-06-06,[[0.01652479]]
2001-06-07,[[0.0167239]]
2001-06-08,[[0.01709655]]
2001-06-11,[[0.01805285]]
2001-06-12,[[0.0234119]]
2001-06-13,[[0.01598775]]
2001-06-14,[[0.01665613]]
2001-06-15,[[0.01665282]]
2001-06-18,[[0.01781449]]
2001-06-19,[[0.13606429]]
2001-06-20,[[0.1641826]]
2001-06-21,[[0.13284087]]
2001-06-22,[[0.12490281]]
2001-06-25,[[0.19152]]
2001-06-26,[[0.21956557]]
2001-06-27,[[0.2478238]]
2001-06-28,[[0.24413827]]
2001-06-29,[[0.2290085]]
2001-07-02,[[0.24821612]]
2001-07-03,[[0.21616638]]
2001-07-05,[[0.23276174]]
2001-07-06,[[0.251301]]
2001-07-09,[[0.30913734]]
2001-07-10,[[0.21185213]]
2001-07-11,[[0.22345462]]
2001-07-12,[[0.18762171]]
2001-07-13,[[0.18374771]]
2001-07-16,[[0.17687091]]
2001-07-17,[[0.19744271]]
2001-07-18,[[0.23329866]]
2001-07-19,[[0.21058536]]
2001-07-20,[[0.23116723]]
2001-07-23,[[0.22628587]]
2001-07-24,[[0.22483945]]
2001-07-25,[[0.15361452]]
2001-07-26,[[0.15995252]]
2001-07-27,[[0.13853604]]
2001-07-30,[[0.13699791]]
2001-07-31,[[0.12327346]]
2001-08-01,[[0.13528526]]
2001-08-02,[[0.13581511]]
2001-08-03,[[0.136051]]
2001-08-06,[[0.13993028]]
2001-08-07,[[0.148307]]
2001-08-08,[[0.14776993]]
2001-08-09,[[0.15520132]]
2001-08-10,[[0.15273413]]
2001-08-13,[[0.1549184]]
2001-08-14,[[0.12372419]]
2001-08-15,[[0.11552837]]
2001-08-16,[[0.1186645]]
2001-08-17,[[0.11674309]]
2001-08-20,[[0.11244288]]
2001-08-21,[[0.11912796]]
2001-08-22,[[0.01697221]]
2001-08-23,[[0.0165332]]
2001-08-24,[[0.01762486]]
2001-08-27,[[0.01828006]]
2001-08-28,[[0.02185866]]
2001-08-29,[[0.01886225]]
2001-08-30,[[0.01962599]]
2001-08-31,[[0.01997477]]
2001-09-04,[[0.02249488]]
2001-09-05,[[0.02102727]]
2001-09-06,[[0.02168372]]
2001-09-07,[[0.02086216]]
2001-09-10,[[0.0207431]]
2001-09-17,[[0.02124569]]
2001-09-18,[[0.02917695]]
2001-09-19,[[0.035202]]
2001-09-20,[[0.03638867]]
2001-09-21,[[0.03082839]]
2001-09-24,[[0.03720629]]
2001-09-25,[[0.03642878]]
2001-09-26,[[0.05170235]]
2001-09-27,[[0.11819944]]
2001-09-28,[[0.03815621]]
2001-10-01,[[0.04034325]]
2001-10-02,[[0.04369587]]
2001-10-03,[[0.03781378]]
2001-10-04,[[0.03995386]]
2001-10-05,[[0.04123476]]
2001-10-08,[[0.04092243]]
2001-10-09,[[0.03950757]]
2001-10-10,[[0.03937131]]
2001-10-11,[[0.03224841]]
2001-10-12,[[0.03072727]]
2001-10-15,[[0.03142524]]
2001-10-16,[[0.13956317]]
2001-10-17,[[0.11452591]]
2001-10-18,[[0.14402136]]
2001-10-19,[[0.1469312]]
2001-10-22,[[0.1667315]]
2001-10-23,[[0.20555755]]
2001-10-24,[[0.2455585]]
2001-10-25,[[0.26219285]]
2001-10-26,[[0.26761353]]
2001-10-29,[[0.2810244]]
2001-10-30,[[0.25211978]]
2001-10-31,[[0.24913076]]
2001-11-01,[[0.23347986]]
2001-11-02,[[0.33587834]]
2001-11-05,[[0.33767498]]
2001-11-06,[[0.30946696]]
2001-11-07,[[0.48415798]]
2001-11-08,[[0.5325083]]
2001-11-09,[[0.5479781]]
2001-11-12,[[0.5421486]]
2001-11-13,[[0.5330304]]
2001-11-14,[[0.52597487]]
2001-11-15,[[0.49620745]]
2001-11-16,[[0.4517203]]
2001-11-19,[[0.4312685]]
2001-11-20,[[0.47935498]]
2001-11-21,[[0.4713491]]
2001-11-23,[[0.445619]]
2001-11-26,[[0.08148482]]
2001-11-27,[[0.15299115]]
2001-11-28,[[0.5257754]]
2001-11-29,[[0.5167547]]
2001-11-30,[[0.55440015]]
2001-12-03,[[0.5473407]]
2001-12-04,[[0.509036]]
2001-12-05,[[0.5282756]]
2001-12-06,[[0.5422228]]
2001-12-07,[[0.5022534]]
2001-12-10,[[0.41320926]]
2001-12-11,[[0.2626272]]
2001-12-12,[[0.28947482]]
2001-12-13,[[0.2324715]]
2001-12-14,[[0.26748008]]
2001-12-17,[[0.31418043]]
2001-12-18,[[0.41813436]]
2001-12-19,[[0.40132773]]
2001-12-20,[[0.5107495]]
2001-12-21,[[0.5117778]]
2001-12-24,[[0.4413585]]
2001-12-26,[[0.502358]]
2001-12-27,[[0.48982185]]
2001-12-28,[[0.34405106]]
2001-12-31,[[0.39247584]]
2002-01-02,[[0.17311642]]
2002-01-03,[[0.259445]]
2002-01-04,[[0.26182002]]
2002-01-07,[[0.16266468]]
2002-01-08,[[0.25884792]]
2002-01-09,[[0.24878812]]
2002-01-10,[[0.2765823]]
2002-01-11,[[0.27034783]]
2002-01-14,[[0.26719514]]
2002-01-15,[[0.2709372]]
2002-01-16,[[0.18105265]]
2002-01-17,[[0.18398869]]
2002-01-18,[[0.18934137]]
2002-01-22,[[0.18718669]]
2002-01-23,[[0.19122967]]
2002-01-24,[[0.14761257]]
2002-01-25,[[0.1402551]]
2002-01-28,[[0.18881261]]
2002-01-29,[[0.1476194]]
2002-01-30,[[0.12427282]]
2002-01-31,[[0.09335837]]
2002-02-01,[[0.15021235]]
2002-02-04,[[0.03060982]]
2002-02-05,[[0.10820225]]
2002-02-06,[[0.02435625]]
2002-02-07,[[0.02713203]]
2002-02-08,[[0.03037357]]
2002-02-11,[[0.02599788]]
2002-02-12,[[0.02114174]]
2002-02-13,[[0.02078491]]
2002-02-14,[[0.01863059]]
2002-02-15,[[0.01859775]]
2002-02-19,[[0.01974183]]
2002-02-20,[[0.01959211]]
2002-02-21,[[0.01801839]]
2002-02-22,[[0.0181292]]
2002-02-25,[[0.01834354]]
2002-02-26,[[0.01953903]]
2002-02-27,[[0.01946342]]
2002-02-28,[[0.01852834]]
2002-03-01,[[0.01792669]]
2002-03-04,[[0.01533064]]
2002-03-05,[[0.05401093]]
2002-03-06,[[0.01653543]]
2002-03-07,[[0.01652634]]
2002-03-08,[[0.01545721]]
2002-03-11,[[0.0151805]]
2002-03-12,[[0.01420316]]
2002-03-13,[[0.01518992]]
2002-03-14,[[0.01509264]]
2002-03-15,[[0.01564264]]
2002-03-18,[[0.0155293]]
2002-03-19,[[0.01548332]]
2002-03-20,[[0.01523417]]
2002-03-21,[[0.01716679]]
2002-03-22,[[0.0170902]]
2002-03-25,[[0.02156103]]
2002-03-26,[[0.02074921]]
2002-03-27,[[0.02063677]]
2002-03-28,[[0.02055448]]
2002-04-01,[[0.01990083]]
2002-04-02,[[0.01549378]]
2002-04-03,[[0.02802619]]
2002-04-04,[[0.03044593]]
2002-04-05,[[0.03235564]]
2002-04-08,[[0.03825548]]
2002-04-09,[[0.05006158]]
2002-04-10,[[0.05376098]]
2002-04-11,[[0.03882173]]
2002-04-12,[[0.03454688]]
2002-04-15,[[0.03636494]]
2002-04-16,[[0.0393216]]
2002-04-17,[[0.028896]]
2002-04-18,[[0.03312334]]
2002-04-19,[[0.03658393]]
2002-04-22,[[0.0368796]]
2002-04-23,[[0.04166889]]
2002-04-24,[[0.04069993]]
2002-04-25,[[0.04285288]]
2002-04-26,[[0.04278374]]
2002-04-29,[[0.04151189]]
2002-04-30,[[0.04552427]]
2002-05-01,[[0.03647825]]
2002-05-02,[[0.03259292]]
2002-05-03,[[0.03150287]]
2002-05-06,[[0.03213742]]
2002-05-07,[[0.03068072]]
2002-05-08,[[0.03086996]]
2002-05-09,[[0.03127855]]
2002-05-10,[[0.02829754]]
2002-05-13,[[0.0246473]]
2002-05-14,[[0.02373734]]
2002-05-15,[[0.02300099]]
2002-05-16,[[0.02181032]]
2002-05-17,[[0.02004576]]
2002-05-20,[[0.02046832]]
2002-05-21,[[0.02048451]]
2002-05-22,[[0.01968116]]
2002-05-23,[[0.01855072]]
2002-05-24,[[0.0177376]]
2002-05-28,[[0.01715928]]
2002-05-29,[[0.01840687]]
2002-05-30,[[0.01722315]]
2002-05-31,[[0.01639086]]
2002-06-03,[[0.0157901]]
2002-06-04,[[0.01633671]]
2002-06-05,[[0.0163562]]
2002-06-06,[[0.01535127]]
2002-06-07,[[0.01584142]]
2002-06-10,[[0.01726669]]
2002-06-11,[[0.01416951]]
2002-06-12,[[0.03740719]]
2002-06-13,[[0.04618424]]
2002-06-14,[[0.01600754]]
2002-06-17,[[0.01744983]]
2002-06-18,[[0.04605007]]
2002-06-19,[[0.04137543]]
2002-06-20,[[0.01671553]]
2002-06-21,[[0.03993568]]
2002-06-24,[[0.03782931]]
2002-06-25,[[0.01718745]]
2002-06-26,[[0.01687682]]
2002-06-27,[[0.02081981]]
2002-06-28,[[0.0202961]]
2002-07-01,[[0.0231123]]
2002-07-02,[[0.02172193]]
2002-07-03,[[0.02155983]]
2002-07-05,[[0.02350411]]
2002-07-08,[[0.02368543]]
2002-07-09,[[0.02298778]]
2002-07-10,[[0.0266782]]
2002-07-11,[[0.02489099]]
2002-07-12,[[0.02666363]]
2002-07-15,[[0.02870297]]
2002-07-16,[[0.03021017]]
2002-07-17,[[0.02880782]]
2002-07-18,[[0.0291023]]
2002-07-19,[[0.02855742]]
2002-07-22,[[0.02929667]]
2002-07-23,[[0.03744498]]
2002-07-24,[[0.0415602]]
2002-07-25,[[0.04239345]]
2002-07-26,[[0.04493672]]
2002-07-29,[[0.04480377]]
2002-07-30,[[0.05068541]]
2002-07-31,[[0.04979718]]
2002-08-01,[[0.04407468]]
2002-08-02,[[0.04321492]]
2002-08-05,[[0.04396927]]
2002-08-06,[[0.04499701]]
2002-08-07,[[0.04549247]]
2002-08-08,[[0.04292977]]
2002-08-09,[[0.04238683]]
2002-08-12,[[0.04373235]]
2002-08-13,[[0.04684639]]
2002-08-14,[[0.04926074]]
2002-08-15,[[0.05235508]]
2002-08-16,[[0.04976195]]
2002-08-19,[[0.04596108]]
2002-08-20,[[0.04917452]]
2002-08-21,[[0.04185978]]
2002-08-22,[[0.03978115]]
2002-08-23,[[0.03788072]]
2002-08-26,[[0.03562608]]
2002-08-27,[[0.03400591]]
2002-08-28,[[0.02953544]]
2002-08-29,[[0.02644432]]
2002-08-30,[[0.02459809]]
2002-09-03,[[0.01937336]]
2002-09-04,[[0.0217393]]
2002-09-05,[[0.02255607]]
2002-09-06,[[0.0224652]]
2002-09-09,[[0.02167878]]
2002-09-10,[[0.01805571]]
2002-09-11,[[0.01922059]]
2002-09-12,[[0.01909608]]
2002-09-13,[[0.02011958]]
2002-09-16,[[0.02141666]]
2002-09-17,[[0.01780519]]
2002-09-18,[[0.01960778]]
2002-09-19,[[0.01976138]]
2002-09-20,[[0.02097392]]
2002-09-23,[[0.02137664]]
2002-09-24,[[0.02120149]]
2002-09-25,[[0.02256233]]
2002-09-26,[[0.02298516]]
2002-09-27,[[0.02389327]]
2002-09-30,[[0.05514932]]
2002-10-01,[[0.02418381]]
2002-10-02,[[0.0529331]]
2002-10-03,[[0.06116244]]
2002-10-04,[[0.06506279]]
2002-10-07,[[0.07277343]]
2002-10-08,[[0.06868321]]
2002-10-09,[[0.06704429]]
2002-10-10,[[0.0625743]]
2002-10-11,[[0.05245653]]
2002-10-14,[[0.05925828]]
2002-10-15,[[0.06122267]]
2002-10-16,[[0.08548215]]
2002-10-17,[[0.10584715]]
2002-10-18,[[0.06466222]]
2002-10-21,[[0.03234726]]
2002-10-22,[[0.03085941]]
2002-10-23,[[0.0318172]]
2002-10-24,[[0.03114438]]
2002-10-25,[[0.03118566]]
2002-10-28,[[0.03000659]]
2002-10-29,[[0.03078276]]
2002-10-30,[[0.0310638]]
2002-10-31,[[0.0303216]]
2002-11-01,[[0.03153768]]
2002-11-04,[[0.03120455]]
2002-11-05,[[0.03177318]]
2002-11-06,[[0.0423103]]
2002-11-07,[[0.03334793]]
2002-11-08,[[0.03386736]]
2002-11-11,[[0.0789721]]
2002-11-12,[[0.5776094]]
2002-11-13,[[0.37603855]]
2002-11-14,[[0.3282035]]
2002-11-15,[[0.38703915]]
2002-11-18,[[0.4015357]]
2002-11-19,[[0.391667]]
2002-11-20,[[0.38963473]]
2002-11-21,[[0.34112114]]
2002-11-22,[[0.34066552]]
2002-11-25,[[0.358917]]
2002-11-26,[[0.3808799]]
2002-11-27,[[0.42950714]]
2002-11-29,[[0.5345224]]
