date,irl_gail
2001-05-07,[[0.34129953]]
2001-05-08,[[0.34425163]]
2001-05-09,[[0.17143825]]
2001-05-10,[[0.16973984]]
2001-05-11,[[0.38695788]]
2001-05-14,[[0.1831069]]
2001-05-15,[[0.5551555]]
2001-05-16,[[0.43475235]]
2001-05-17,[[0.33917758]]
2001-05-18,[[0.4007489]]
2001-05-21,[[0.17639005]]
2001-05-22,[[0.44664106]]
2001-05-23,[[0.19149396]]
2001-05-24,[[0.6502726]]
2001-05-25,[[0.35755923]]
2001-05-29,[[0.66221213]]
2001-05-30,[[0.58754426]]
2001-05-31,[[0.20073676]]
2001-06-01,[[0.71010315]]
2001-06-04,[[0.20132458]]
2001-06-05,[[0.8660746]]
2001-06-06,[[0.71706975]]
2001-06-07,[[0.20128232]]
2001-06-08,[[0.20574605]]
2001-06-11,[[0.20517477]]
2001-06-12,[[0.87033266]]
2001-06-13,[[0.19993016]]
2001-06-14,[[0.203195]]
2001-06-15,[[0.66434956]]
2001-06-18,[[0.64232767]]
2001-06-19,[[0.8129132]]
2001-06-20,[[0.68519664]]
2001-06-21,[[0.8721156]]
2001-06-22,[[0.8813044]]
2001-06-25,[[0.7552621]]
2001-06-26,[[0.6923492]]
2001-06-27,[[0.19758785]]
2001-06-28,[[0.19917163]]
2001-06-29,[[0.20114759]]
2001-07-02,[[0.20731413]]
2001-07-03,[[0.19514278]]
2001-07-05,[[0.19516706]]
2001-07-06,[[0.20096827]]
2001-07-09,[[0.417247]]
2001-07-10,[[0.19387195]]
2001-07-11,[[0.1965828]]
2001-07-12,[[0.19802144]]
2001-07-13,[[0.19823146]]
2001-07-16,[[0.19939941]]
2001-07-17,[[0.20370412]]
2001-07-18,[[0.20460898]]
2001-07-19,[[0.20780751]]
2001-07-20,[[0.20527115]]
2001-07-23,[[0.20563981]]
2001-07-24,[[0.20313627]]
2001-07-25,[[0.44570857]]
2001-07-26,[[0.19837919]]
2001-07-27,[[0.19696814]]
2001-07-30,[[0.19668749]]
2001-07-31,[[0.39326325]]
2001-08-01,[[0.19350657]]
2001-08-02,[[0.19714797]]
2001-08-03,[[0.3749562]]
2001-08-06,[[0.42505097]]
2001-08-07,[[0.3996569]]
2001-08-08,[[0.4187074]]
2001-08-09,[[0.40903908]]
2001-08-10,[[0.5181422]]
2001-08-13,[[0.4307885]]
2001-08-14,[[0.43001825]]
2001-08-15,[[0.43186677]]
2001-08-16,[[0.50844467]]
2001-08-17,[[0.433704]]
2001-08-20,[[0.19895434]]
2001-08-21,[[0.18894655]]
2001-08-22,[[0.19416392]]
2001-08-23,[[0.19760025]]
2001-08-24,[[0.19870463]]
2001-08-27,[[0.2094357]]
2001-08-28,[[0.20645496]]
2001-08-29,[[0.20823207]]
2001-08-30,[[0.20540422]]
2001-08-31,[[0.20598605]]
2001-09-04,[[0.2098265]]
2001-09-05,[[0.20339108]]
2001-09-06,[[0.20381334]]
2001-09-07,[[0.20696342]]
2001-09-10,[[0.20716596]]
2001-09-17,[[0.20982242]]
2001-09-18,[[0.19905761]]
2001-09-19,[[0.21586338]]
2001-09-20,[[0.22101876]]
2001-09-21,[[0.2750162]]
2001-09-24,[[0.24011305]]
2001-09-25,[[0.4061761]]
2001-09-26,[[0.41462737]]
2001-09-27,[[0.24520892]]
2001-09-28,[[0.24399868]]
2001-10-01,[[0.22381026]]
2001-10-02,[[0.36591804]]
2001-10-03,[[0.5280002]]
2001-10-04,[[0.34157565]]
2001-10-05,[[0.35311955]]
2001-10-08,[[0.35181683]]
2001-10-09,[[0.45299932]]
2001-10-10,[[0.34290987]]
2001-10-11,[[0.36641783]]
2001-10-12,[[0.3257339]]
2001-10-15,[[0.34808066]]
2001-10-16,[[0.36444455]]
2001-10-17,[[0.52599174]]
2001-10-18,[[0.47402585]]
2001-10-19,[[0.61722475]]
2001-10-22,[[0.37677228]]
2001-10-23,[[0.39451724]]
2001-10-24,[[0.3916645]]
2001-10-25,[[0.5439621]]
2001-10-26,[[0.4012431]]
2001-10-29,[[0.31674385]]
2001-10-30,[[0.32906222]]
2001-10-31,[[0.64671737]]
2001-11-01,[[0.70318955]]
2001-11-02,[[0.64680946]]
2001-11-05,[[0.6846144]]
2001-11-06,[[0.8484373]]
2001-11-07,[[0.84292567]]
2001-11-08,[[0.83766365]]
2001-11-09,[[0.76485205]]
2001-11-12,[[0.86058575]]
2001-11-13,[[0.8310923]]
2001-11-14,[[0.4952551]]
2001-11-15,[[0.75207746]]
2001-11-16,[[0.75589204]]
2001-11-19,[[0.8262944]]
2001-11-20,[[0.64463955]]
2001-11-21,[[0.6428398]]
2001-11-23,[[0.8357]]
2001-11-26,[[0.8450041]]
2001-11-27,[[0.7607566]]
2001-11-28,[[0.8183142]]
2001-11-29,[[0.6704891]]
2001-11-30,[[0.6623098]]
2001-12-03,[[0.86814904]]
2001-12-04,[[0.6881483]]
2001-12-05,[[0.7138071]]
2001-12-06,[[0.6326057]]
2001-12-07,[[0.51049674]]
2001-12-10,[[0.5548129]]
2001-12-11,[[0.42015618]]
2001-12-12,[[0.42772448]]
2001-12-13,[[0.6167128]]
2001-12-14,[[0.6641975]]
2001-12-17,[[0.5180449]]
2001-12-18,[[0.6714453]]
2001-12-19,[[0.675186]]
2001-12-20,[[0.6782863]]
2001-12-21,[[0.68414634]]
2001-12-24,[[0.68615854]]
2001-12-26,[[0.6787934]]
2001-12-27,[[0.7668958]]
2001-12-28,[[0.827411]]
2001-12-31,[[0.8102193]]
2002-01-02,[[0.4188204]]
2002-01-03,[[0.37075478]]
2002-01-04,[[0.4046055]]
